Name1,Manufacturer,Model,Model_Year,Transmission,KM_Done,Price,Time,Rating
Toyota Yaris  1.5L SE 2012,Toyota ,Yaris ,2012.0,Automatic,375335.0,14000," Apr 14, 2021",10
Hyundai Elantra 2014,Hyundai ,Elantra ,2014.0,Automatic,164000.0,23000," Apr 14, 2021",10
Ford EcoSport 2015,Ford ,EcoSport ,2015.0,Automatic,84000.0,22000," Apr 14, 2021",10
Hyundai Sonata  2.0L 2012,Hyundai ,Sonata ,2012.0,Automatic,162000.0,26000," Apr 13, 2021",10
Ford Escape  2.5L S  2014,Ford ,Escape ,2014.0,Automatic,143220.0,33000," Apr 13, 2021",10
Toyota Corolla  1.6L Smart 2010,Toyota ,Corolla ,2010.0,Manual,87000.0,18000," Apr 12, 2021",10
Ford Fusion  S 2010,Ford ,Fusion ,2010.0,Automatic,392000.0,15000," Apr 09, 2021",10
Ford Figo 2016,Ford ,Figo ,2016.0,Automatic,51553.0,20999," Apr 08, 2021",10
Ford Focus 2012,Ford ,Focus ,2012.0,Automatic,125041.0,16999," Apr 08, 2021",10
Ford Figo 2016,Ford ,Figo ,2016.0,Automatic,61105.0,20999," Apr 08, 2021",10
Ford Figo 2016,Ford ,Figo ,2016.0,Automatic,33643.0,20999," Apr 08, 2021",10
Ford Figo 2016,Ford ,Figo ,2016.0,Automatic,23172.0,20999," Apr 08, 2021",10
Ford Escape 2015,Ford ,Escape ,2015.0,Automatic,66323.0,44999," Apr 08, 2021",10
Ford Figo 2016,Ford ,Figo ,2016.0,Automatic,31038.0,20999," Apr 08, 2021",10
Ford Figo 2016,Ford ,Figo ,2016.0,Automatic,20190.0,20999," Apr 08, 2021",10
Ford Figo 2016,Ford ,Figo ,2016.0,Automatic,26993.0,20999," Apr 08, 2021",10
Ford Figo 2016,Ford ,Figo ,2016.0,Automatic,20221.0,20999," Apr 08, 2021",10
Ford Focus 2014,Ford ,Focus ,2014.0,Automatic,93700.0,24999," Apr 08, 2021",10
Ford EcoSport 2014,Ford ,EcoSport ,2014.0,Automatic,186000.0,23000," Apr 08, 2021",10
Ford Ranger 2016,Ford ,Ranger ,2016.0,Manual,43961.0,54999," Apr 08, 2021",10
Toyota Corolla 2016,Toyota ,Corolla ,2016.0,Automatic,43814.0,49999," Apr 08, 2021",10
Toyota Corolla 2016,Toyota ,Corolla ,2016.0,Automatic,18652.0,50000," Apr 08, 2021",10
Ford Fusion 2014,Ford ,Fusion ,2014.0,Automatic,95395.0,33000," Apr 08, 2021",10
Toyota Camry 2015,Toyota ,Camry ,2015.0,Automatic,39706.0,52500," Apr 08, 2021",10
Toyota Camry 2015,Toyota ,Camry ,2015.0,Automatic,42249.0,52500," Apr 08, 2021",10
