Name1,Manufacturer,Model,Model_Year,Transmission,KM_Done,Price,Time
Toyota Yaris  1.5L SE 2012,Toyota ,Yaris ,2012,Automatic,"375,335",14000," Apr 14, 2021"
Kia Sorento  3.5L Base 2015,Kia ,Sorento ,2015,Automatic,"70,000",52000," Apr 14, 2021"
Kia Cadenza  3.3L GDi Mid 2017,Kia ,Cadenza ,2017,Automatic,"172,000",49000," Apr 14, 2021"
Hyundai Elantra 2014,Hyundai ,Elantra ,2014,Automatic,"164,000",23000," Apr 14, 2021"
Ford EcoSport 2015,Ford ,EcoSport ,2015,Automatic,"84,000",22000," Apr 14, 2021"
Mitsubishi Pajero 2016,Mitsubishi ,Pajero ,2016,Automatic,"133,000",50000," Apr 14, 2021"
Mitsubishi Pajero 2016,Mitsubishi ,Pajero ,2016,Automatic,"133,000",50000," Apr 14, 2021"
Kia Sorento  3.5L Base 2015,Kia ,Sorento ,2015,Automatic,"70,000",52000," Apr 13, 2021"
Ford Taurus  3.5L V6 SEL 2010,Ford ,Taurus ,2010,Automatic,"290,000",28000," Apr 13, 2021"
Jeep Compass  Limited 2.4L 2016,Jeep ,Compass ,2016,Automatic,"59,000",62000," Apr 13, 2021"
Jeep Compass 2016,Jeep ,Compass ,2016,Automatic,"59,000",62000," Apr 13, 2021"
MG - 5 2021,MG ,,2021,CVT,"7,200",46500," Apr 13, 2021"
Toyota Camry  2.5L LE STD (178 HP) 2020,Toyota ,Camry ,2020,Automatic,"40,000",75000," Apr 13, 2021"
Hyundai Sonata  2.0L 2012,Hyundai ,Sonata ,2012,Automatic,"162,000",26000," Apr 13, 2021"
Chevrolet Cruze 1.8 LS 2017,Chevrolet ,Cruze ,2017,Automatic,"160,000",27000," Apr 13, 2021"
nan,,,,nan,,0,nan
nan,,,,nan,,0,nan
Audi Q5  40 TFSI quattro (225 HP) 2017,Audi ,,2017,Automatic,"59,999",125000," Apr 13, 2021"
Ford Escape  2.5L S  2014,Ford ,Escape ,2014,Automatic,"143,220",33000," Apr 13, 2021"
Audi Q5  40 TFSI quattro (225 HP) 2017,Audi ,,2017,Automatic,"60,000",125000," Apr 13, 2021"
Kia Sportage  2.0L Top 2014,Kia ,Sportage ,2014,Automatic,"73,709",47000," Apr 12, 2021"
Lexus LX 570 2017,Lexus ,LX ,2017,Automatic,"1,023",145000," Apr 12, 2021"
Lexus IS  350 Prestige 2016,Lexus ,IS ,2016,Automatic,"13,100",90000," Apr 12, 2021"
Chevrolet Caprice 2004,Chevrolet ,Caprice ,2004,Automatic,"400,000",8000," Apr 12, 2021"
GMC Yukon XL  SLE 2015,GMC ,Yukon ,2015,Automatic,"59,000",145000," Apr 12, 2021"
Toyota Camry 2010,Toyota ,Camry ,2010,NA,"233,000",17500," Apr 12, 2021"
Toyota Hiace  2.7L Commuter GL High Roof LWB 2014,Toyota ,Hiace ,2014,Manual,"133,000",63000," Apr 12, 2021"
