Name1,Manufacturer,Model,Model_Year,Transmission,KM_Done,Price,Time,Rating
Ford Taurus  3.5L V6 SEL 2010,Ford ,Taurus ,2010.0,Automatic,290000.0,28000," Apr 13, 2021",1
Jeep Compass  Limited 2.4L 2016,Jeep ,Compass ,2016.0,Automatic,59000.0,62000," Apr 13, 2021",5
Jeep Compass 2016,Jeep ,Compass ,2016.0,Automatic,59000.0,62000," Apr 13, 2021",5
Toyota Camry  2.5L LE STD (178 HP) 2020,Toyota ,Camry ,2020.0,Automatic,40000.0,75000," Apr 13, 2021",5
Hyundai Sonata  2.0L 2012,Hyundai ,Sonata ,2012.0,Automatic,162000.0,26000," Apr 13, 2021",10
Chevrolet Cruze 1.8 LS 2017,Chevrolet ,Cruze ,2017.0,Automatic,160000.0,27000," Apr 13, 2021",10
Ford Escape  2.5L S  2014,Ford ,Escape ,2014.0,Automatic,143220.0,33000," Apr 13, 2021",10
Kia Sportage  2.0L Top 2014,Kia ,Sportage ,2014.0,Automatic,73709.0,47000," Apr 12, 2021",10
Lexus LX 570 2017,Lexus ,LX ,2017.0,Automatic,1023.0,145000," Apr 12, 2021",1
Lexus IS  350 Prestige 2016,Lexus ,IS ,2016.0,Automatic,13100.0,90000," Apr 12, 2021",5
Chevrolet Caprice 2004,Chevrolet ,Caprice ,2004.0,Automatic,400000.0,8000," Apr 12, 2021",10
GMC Yukon XL  SLE 2015,GMC ,Yukon ,2015.0,Automatic,59000.0,145000," Apr 12, 2021",1
Toyota Hiace  2.7L Commuter GL High Roof LWB 2014,Toyota ,Hiace ,2014.0,Manual,133000.0,63000," Apr 12, 2021",1
Toyota Corolla  1.8L GLI Hybrid 2018,Toyota ,Corolla ,2018.0,CVT,33000.0,68000," Apr 12, 2021",5
Toyota Corolla  1.6L Smart 2010,Toyota ,Corolla ,2010.0,Manual,87000.0,18000," Apr 12, 2021",10
GMC Yukon  SLE 2015,GMC ,Yukon ,2015.0,Automatic,59000.0,145000," Apr 11, 2021",1
Ford Expedition 2019,Ford ,Expedition ,2019.0,Automatic,17000.0,195000," Apr 11, 2021",1
MG GS 2018,MG ,GS ,2018.0,Automatic,60000.0,55000," Apr 11, 2021",5
Dodge Durango  3.6L GT(RWD) 2020,Dodge ,Durango ,2020.0,CVT,36200.0,140000," Apr 10, 2021",1
Honda Pilot 3.5L EX AWD 2008,Honda ,Pilot ,2008.0,Automatic,260000.0,10000," Apr 10, 2021",10
Volkswagen Tiguan  2.0L R-Line 2014,Volkswagen ,Tiguan ,2014.0,Automatic,212000.0,45000," Apr 10, 2021",1
Chevrolet Caprice 2006,Chevrolet ,Caprice ,2006.0,Automatic,100000.0,8000," Apr 10, 2021",10
Chevrolet Caprice 2006,Chevrolet ,Caprice ,2006.0,Automatic,100000.0,8000," Apr 10, 2021",10
Hyundai Elantra  1.8L 2013,Hyundai ,Elantra ,2013.0,Automatic,223000.0,26000," Apr 10, 2021",5
New Honda Civic  1.6L DX 2018,Ford ,Honda ,2018.0,CVT,3340.0,55000," Apr 10, 2021",10
New Honda Civic  1.6L DX 2018,Ford ,Honda ,2018.0,CVT,3350.0,55000," Apr 10, 2021",10
Land Rover LR4  5.0 SE 2012,Land ,Rover ,2012.0,Automatic,163000.0,45000," Apr 10, 2021",5
Ford Fusion  S 2010,Ford ,Fusion ,2010.0,Automatic,392000.0,15000," Apr 09, 2021",10
Toyota Fortuner  2.7L 2015,Toyota ,Fortuner ,2015.0,Automatic,182000.0,52000," Apr 09, 2021",1
Chevrolet Trailblazer 2007,Chevrolet ,Trailblazer ,2007.0,Automatic,225164.0,13000," Apr 09, 2021",10
Dodge Durango  3.6L 2013,Dodge ,Durango ,2013.0,Automatic,126000.0,35000," Apr 09, 2021",10
Toyota Yaris 2011,Toyota ,Yaris ,2011.0,Manual,299998.0,16000," Apr 08, 2021",1
Dodge Durango  3.6L 2013,Dodge ,Durango ,2013.0,Automatic,125000.0,35000," Apr 08, 2021",10
Ford Expedition 2012,Ford ,Expedition ,2012.0,Automatic,112000.0,52500," Apr 08, 2021",5
Ford Expedition 2012,Ford ,Expedition ,2012.0,Automatic,127000.0,52500," Apr 08, 2021",5
Ford Expedition 2012,Ford ,Expedition ,2012.0,Automatic,110000.0,57750," Apr 08, 2021",5
Ford Figo 2016,Ford ,Figo ,2016.0,Automatic,51553.0,20999," Apr 08, 2021",10
Ford Focus 2012,Ford ,Focus ,2012.0,Automatic,125041.0,16999," Apr 08, 2021",10
Ford Figo 2016,Ford ,Figo ,2016.0,Automatic,61105.0,20999," Apr 08, 2021",10
Ford Figo 2016,Ford ,Figo ,2016.0,Automatic,33643.0,20999," Apr 08, 2021",10
Ford Taurus 2015,Ford ,Taurus ,2015.0,Automatic,80040.0,58999," Apr 08, 2021",5
