,Name,Price,Details,Time
0,,,,
1,,,,
2,"
New Toyota Yaris  1.5L SE 2012
","14,000","
375,335
Automatic
2012
","
Posted on  Apr 14, 2021 
"
3,"
Used Kia Sorento  3.5L Base 2015
","52,000","
70,000
Automatic
2015
","
Posted on  Apr 14, 2021 
"
4,"
Used Kia Cadenza  3.3L GDi Mid 2017
","49,000","
172,000
Automatic
2017
","
Updated on  Apr 14, 2021 
"
5,"
Used Hyundai Elantra 2014
","23,000","
164,000
Automatic
2014
","
Updated on  Apr 14, 2021 
"
6,"
Used Ford EcoSport 2015
","22,000","
84,000
Automatic
2015
","
Updated on  Apr 14, 2021 
"
7,"
Used Mitsubishi Pajero 2016
","50,000","
133,000
Automatic
2016
","
Updated on  Apr 14, 2021 
"
8,"
Used Mitsubishi Pajero 2016
","50,000","
133,000
Automatic
2016
","
Posted on  Apr 14, 2021 
"
9,"
Used Kia Sorento  3.5L Base 2015
","52,000","
70,000
Automatic
2015
","
Posted on  Apr 13, 2021 
"
10,"
Used Ford Taurus  3.5L V6 SEL 2010
","28,000","
290,000
Automatic
2010
","
Posted on  Apr 13, 2021 
"
11,"
Used Jeep Compass  Limited 2.4L 2016
","62,000","
59,000
Automatic
2016
","
Posted on  Apr 13, 2021 
"
12,"
Used Jeep Compass 2016
","62,000","
59,000
Automatic
2016
","
Posted on  Apr 13, 2021 
"
13,"
Used MG - 5 2021
","46,500","
7,200
CVT
2021
","
Posted on  Apr 13, 2021 
"
14,"
Used Toyota Camry  2.5L LE STD (178 HP) 2020
","75,000","
40,000
Automatic
2020
","
Posted on  Apr 13, 2021 
"
15,"
Used Hyundai Sonata  2.0L 2012
","26,000","
162,000
Automatic
2012
","
Updated on  Apr 13, 2021 
"
16,"
Used Chevrolet Cruze 1.8 LS 2017
","27,000","
160,000
Automatic
2017
","
Updated on  Apr 13, 2021 
"
17,,,,
18,,,,
19,"
Used Audi Q5  40 TFSI quattro (225 HP) 2017
","125,000","
59,999
Automatic
2017
","
Posted on  Apr 13, 2021 
"
20,"
Used Ford Escape  2.5L S  2014
","33,000","
143,220
Automatic
2014
","
Posted on  Apr 13, 2021 
"
21,"
Used Audi Q5  40 TFSI quattro (225 HP) 2017
","125,000","
60,000
Automatic
2017
","
Posted on  Apr 13, 2021 
"
22,"
Used Kia Sportage  2.0L Top 2014
","47,000","
73,709
Automatic
2014
","
Updated on  Apr 12, 2021 
"
23,"
Used Lexus LX 570 2017
","145,000","
1,023
Automatic
2017
","
Posted on  Apr 12, 2021 
"
24,"
Used Lexus IS  350 Prestige 2016
","90,000","
13,100
Automatic
2016
","
Posted on  Apr 12, 2021 
"
25,"
Used Chevrolet Caprice 2004
","8,000","
400,000
Automatic
2004
","
Updated on  Apr 12, 2021 
"
